Frequency(GHz),Magnitude(dB)
7.099999999999999645e+00,5.555242141620936280e+01
7.200000000000000178e+00,5.540919007176395183e+01
7.299999999999999822e+00,5.520383227476295218e+01
7.400000000000000355e+00,5.496910893373696183e+01
7.500000000000000000e+00,5.466586844701366488e+01
7.599999999999999645e+00,5.437726070908639997e+01
7.700000000000000178e+00,5.413107770026384458e+01
7.799999999999999822e+00,5.402750473778279172e+01
7.900000000000000355e+00,5.397793318263261853e+01
8.000000000000000000e+00,5.388388924941550329e+01
8.099999999999999645e+00,5.369600669965557671e+01
8.199999999999999289e+00,5.344658649641733206e+01
8.300000000000000711e+00,5.330871861022388458e+01
8.400000000000000355e+00,5.320840557349819022e+01
8.500000000000000000e+00,5.301482862259356921e+01
8.599999999999999645e+00,5.289229073481968868e+01
8.699999999999999289e+00,5.279125303951254011e+01
8.800000000000000711e+00,5.262861522182640783e+01
8.900000000000000355e+00,5.239934749437740180e+01
9.000000000000000000e+00,5.216902353893309652e+01
9.099999999999999645e+00,5.193840883197638902e+01
9.199999999999999289e+00,5.168138554761163306e+01
9.300000000000000711e+00,5.150326944402741702e+01
9.400000000000000355e+00,5.142227448909566334e+01
9.500000000000000000e+00,5.120079306422719867e+01
9.599999999999999645e+00,5.102710399668671926e+01
9.699999999999999289e+00,5.095631333156647003e+01
9.800000000000000711e+00,5.086960198957763168e+01
9.900000000000000355e+00,5.081807909506259335e+01
1.000000000000000000e+01,5.086379528550693863e+01
1.009999999999999964e+01,5.083273397563338136e+01
1.019999999999999929e+01,5.067779911961119410e+01
1.030000000000000071e+01,5.057034328131749845e+01
1.040000000000000036e+01,5.038906092946327675e+01
1.050000000000000000e+01,5.019372432748922819e+01
1.059999999999999964e+01,5.012401354222666328e+01
1.069999999999999929e+01,5.009006698957931292e+01
1.080000000000000071e+01,5.000452930088924575e+01
1.090000000000000036e+01,4.973767644030022694e+01
1.100000000000000000e+01,4.947166107538598112e+01
1.109999999999999964e+01,4.928128695325980857e+01
1.119999999999999929e+01,4.921301544325180544e+01
1.130000000000000071e+01,4.923947646356731411e+01
1.140000000000000036e+01,4.920462205987060145e+01
1.150000000000000000e+01,4.907268276566097143e+01
1.159999999999999964e+01,4.898308749765299552e+01
1.169999999999999929e+01,4.894954161320913499e+01
1.180000000000000071e+01,4.885063767352532693e+01
1.190000000000000036e+01,4.873190295910749370e+01
1.200000000000000000e+01,4.867071136244031493e+01
1.209999999999999964e+01,4.857717793777466397e+01
1.219999999999999929e+01,4.842667325135784040e+01
1.230000000000000071e+01,4.825478038466151531e+01
1.240000000000000036e+01,4.809190274438485346e+01
1.250000000000000000e+01,4.796298221388645544e+01
1.259999999999999964e+01,4.796226535317877904e+01
1.269999999999999929e+01,4.788589367679058029e+01
1.280000000000000071e+01,4.752239828219934026e+01
1.290000000000000036e+01,4.725559333832498510e+01
1.300000000000000000e+01,4.723800475713665747e+01
1.309999999999999964e+01,4.714112420039191420e+01
1.319999999999999929e+01,4.703448882766334549e+01
1.330000000000000071e+01,4.700831620025368096e+01
1.340000000000000036e+01,4.695658421398679394e+01
1.350000000000000000e+01,4.683118381441583722e+01
1.359999999999999964e+01,4.672940634777484092e+01
1.369999999999999929e+01,4.674898347520685604e+01
1.380000000000000071e+01,4.676319158321084757e+01
1.390000000000000036e+01,4.677320849214506637e+01
1.400000000000000000e+01,4.664998512403585806e+01
1.409999999999999964e+01,4.643841888350795699e+01
1.419999999999999929e+01,4.633683737168802708e+01
1.430000000000000071e+01,4.606321536900426850e+01
1.440000000000000036e+01,4.583148812895774427e+01
1.450000000000000000e+01,4.571443498578962306e+01
1.459999999999999964e+01,4.561571607405505091e+01
1.469999999999999929e+01,4.555453225365322822e+01
1.480000000000000071e+01,4.551998027324481200e+01
1.490000000000000036e+01,4.552153515416011942e+01
1.500000000000000000e+01,4.535917997731820606e+01
1.509999999999999964e+01,4.521474573845726042e+01
1.519999999999999929e+01,4.533325358496497159e+01
1.530000000000000071e+01,4.523493342320936961e+01
1.540000000000000036e+01,4.477163150424635774e+01
1.550000000000000000e+01,4.454365293554261029e+01
1.559999999999999964e+01,4.449429272802437652e+01
1.569999999999999929e+01,4.431877047632269750e+01
1.580000000000000071e+01,4.419665554860094403e+01
1.590000000000000036e+01,4.407250390634302306e+01
1.600000000000000000e+01,4.401860894925186329e+01
1.610000000000000142e+01,4.402401697352061660e+01
1.619999999999999929e+01,4.388565303826826636e+01
1.630000000000000071e+01,4.360847044762864044e+01
1.639999999999999858e+01,4.360020990931100471e+01
1.650000000000000000e+01,4.355613802357061104e+01
1.660000000000000142e+01,4.306840892063942050e+01
1.669999999999999929e+01,4.265734448803395651e+01
1.680000000000000071e+01,4.271268899136882169e+01
1.689999999999999858e+01,4.305009457759317826e+01
1.700000000000000000e+01,4.322237740671535278e+01
1.710000000000000142e+01,4.318657023126762340e+01
1.719999999999999929e+01,4.307465480878210684e+01
1.730000000000000071e+01,4.271472097762189435e+01
1.739999999999999858e+01,4.236310523629641267e+01
1.750000000000000000e+01,4.191833154028102371e+01
1.760000000000000142e+01,4.162222892112671957e+01
1.769999999999999929e+01,4.164695182681492724e+01
1.780000000000000071e+01,4.142310519775188027e+01
1.789999999999999858e+01,4.112816954095706734e+01
1.800000000000000000e+01,4.107610936302718585e+01
1.810000000000000142e+01,4.134245535212211564e+01
1.819999999999999929e+01,4.159696284081022810e+01
1.830000000000000071e+01,4.150182319911699835e+01
1.839999999999999858e+01,4.120329451877853444e+01
1.850000000000000000e+01,4.090353507397692567e+01
1.860000000000000142e+01,4.058227458054641801e+01
1.869999999999999929e+01,4.029707856864688154e+01
1.880000000000000071e+01,4.007156061521246926e+01
1.889999999999999858e+01,3.992744227541081870e+01
1.900000000000000000e+01,3.940620083746647140e+01
1.910000000000000142e+01,3.890985162389866758e+01
1.919999999999999929e+01,3.892503088512454212e+01
1.930000000000000071e+01,3.872540037048301542e+01
1.939999999999999858e+01,3.895403726590269144e+01
1.950000000000000000e+01,3.896606886730081953e+01
1.960000000000000142e+01,3.829435059689586041e+01
1.969999999999999929e+01,3.786299157375185587e+01
1.980000000000000071e+01,3.792374298782137032e+01
1.989999999999999858e+01,3.797922817036284471e+01
2.000000000000000000e+01,3.747268510745276870e+01
2.010000000000000142e+01,3.691769446852203629e+01
2.019999999999999929e+01,3.689579319502932009e+01
2.030000000000000071e+01,3.766988641166382479e+01
2.039999999999999858e+01,3.832710136599830975e+01
2.050000000000000000e+01,3.838899409875995161e+01
2.060000000000000142e+01,3.846537088466033083e+01
2.069999999999999929e+01,3.857384574304145985e+01
2.080000000000000071e+01,3.843649783996945501e+01
2.089999999999999858e+01,3.786632372340566377e+01
2.100000000000000000e+01,3.751680974290384540e+01
2.110000000000000142e+01,3.717167292069625972e+01
2.119999999999999929e+01,3.637763482005415483e+01
2.130000000000000071e+01,3.629087529759338082e+01
2.139999999999999858e+01,3.637834150029360814e+01
2.150000000000000000e+01,3.594449715478629059e+01
2.160000000000000142e+01,3.591292233784685806e+01
2.169999999999999929e+01,3.605542443756259274e+01
2.180000000000000071e+01,3.586385610973962912e+01
2.189999999999999858e+01,3.546800861356751255e+01
2.200000000000000000e+01,3.516260054479693764e+01
2.210000000000000142e+01,3.536796719439290371e+01
2.219999999999999929e+01,3.566972768647469394e+01
2.230000000000000071e+01,3.554678196552591629e+01
2.239999999999999858e+01,3.507319256787484107e+01
2.250000000000000000e+01,3.473614218255642072e+01
2.260000000000000142e+01,3.494496928646825751e+01
2.269999999999999929e+01,3.479842172681171775e+01
2.280000000000000071e+01,3.454008502144269954e+01
2.289999999999999858e+01,3.361069186400398934e+01
2.300000000000000000e+01,3.292139692921770688e+01
2.310000000000000142e+01,3.310587278955647150e+01
2.319999999999999929e+01,3.312031169690509103e+01
2.330000000000000071e+01,3.263814684948917488e+01
2.339999999999999858e+01,3.283149989502592092e+01
2.350000000000000000e+01,3.338802919577305772e+01
2.360000000000000142e+01,3.343438056645841527e+01
2.369999999999999929e+01,3.306009686641391454e+01
2.380000000000000071e+01,3.279853216028809726e+01
2.389999999999999858e+01,3.370093274897198654e+01
2.400000000000000000e+01,3.441213153896952548e+01
2.410000000000000142e+01,3.412416203782316160e+01
2.419999999999999929e+01,3.353572042155575872e+01
2.430000000000000071e+01,3.312057227992506370e+01
2.439999999999999858e+01,3.250796547076624421e+01
2.450000000000000000e+01,3.254473204017381249e+01
2.460000000000000142e+01,3.316592577350705540e+01
2.469999999999999929e+01,3.296080490853091760e+01
2.480000000000000071e+01,3.246316316246509359e+01
2.489999999999999858e+01,3.218485891562964696e+01
2.500000000000000000e+01,3.186544730927506208e+01
2.510000000000000142e+01,3.158969104869414224e+01
2.519999999999999929e+01,3.141942832791042051e+01
2.530000000000000071e+01,3.162084181489116474e+01
2.539999999999999858e+01,3.156270160628869803e+01
2.550000000000000000e+01,3.096080041343363121e+01
2.560000000000000142e+01,3.099082287462366025e+01
2.569999999999999929e+01,3.118338669922894013e+01
2.580000000000000071e+01,3.087098839658674621e+01
2.589999999999999858e+01,3.003165870992352993e+01
2.600000000000000000e+01,2.944151631028059413e+01
2.610000000000000142e+01,2.772257169169979818e+01
2.619999999999999929e+01,2.904101941836095335e+01
2.630000000000000071e+01,3.034803660993838292e+01
2.639999999999999858e+01,2.985763874169061438e+01
2.650000000000000000e+01,2.936548167365307904e+01
2.660000000000000142e+01,3.073413407244327544e+01
2.669999999999999929e+01,3.128256484895013756e+01
2.680000000000000071e+01,2.972676351906817871e+01
2.689999999999999858e+01,2.926717304167866374e+01
2.700000000000000000e+01,2.936356232568702751e+01
2.710000000000000142e+01,2.840263626359862315e+01
2.719999999999999929e+01,2.887545245280104567e+01
2.730000000000000071e+01,2.977353581755799894e+01
2.739999999999999858e+01,2.918798463948261457e+01
2.750000000000000000e+01,2.787391139965836828e+01
2.760000000000000142e+01,2.855152910698083701e+01
2.769999999999999929e+01,2.970163071081428185e+01
2.780000000000000071e+01,2.850872381989883664e+01
2.789999999999999858e+01,2.746668031685203104e+01
2.800000000000000000e+01,2.776974406932664863e+01
2.810000000000000142e+01,2.788351798304476858e+01
2.819999999999999929e+01,2.726259035608639891e+01
2.830000000000000071e+01,2.700224774858939014e+01
2.839999999999999858e+01,2.636564101613362965e+01
2.850000000000000000e+01,2.632582947487266267e+01
2.860000000000000142e+01,2.853755877979139299e+01
2.869999999999999929e+01,2.896740227146604596e+01
2.880000000000000071e+01,2.769968465305435146e+01
2.889999999999999858e+01,2.844947668296935106e+01
2.900000000000000000e+01,2.823921195690383712e+01
2.910000000000000142e+01,2.729071290008896966e+01
2.919999999999999929e+01,2.682526114337022705e+01
2.930000000000000071e+01,2.520042129739378112e+01
2.939999999999999858e+01,2.369415694691434737e+01
2.950000000000000000e+01,2.473035400028249597e+01
2.960000000000000142e+01,2.501203420938542976e+01
2.969999999999999929e+01,2.464354817763109295e+01
2.980000000000000071e+01,2.567579651119869055e+01
2.989999999999999858e+01,2.705820777713876524e+01
3.000000000000000000e+01,2.547593411598220925e+01
3.010000000000000142e+01,2.457240922763624269e+01
3.019999999999999929e+01,2.544106189138318186e+01
3.030000000000000071e+01,2.544693032245147180e+01
3.039999999999999858e+01,2.266203918978050424e+01
3.050000000000000000e+01,2.250734789846863038e+01
3.060000000000000142e+01,2.606812219223067473e+01
3.069999999999999929e+01,2.633437062945399987e+01
3.080000000000000071e+01,2.555981536294658696e+01
3.089999999999999858e+01,2.522621324746799587e+01
3.100000000000000000e+01,2.570234300836115438e+01
3.110000000000000142e+01,2.579003932630764240e+01
3.119999999999999929e+01,2.536896115315662570e+01
3.130000000000000071e+01,2.435779302100005594e+01
3.139999999999999858e+01,2.271047564276194919e+01
3.150000000000000000e+01,2.294371508230690182e+01
3.160000000000000142e+01,2.531513298190922612e+01
3.169999999999999929e+01,2.548735579512465321e+01
3.180000000000000071e+01,2.445888427442479696e+01
3.189999999999999858e+01,2.480188837227918697e+01
3.200000000000000000e+01,2.638778092294352007e+01
3.210000000000000142e+01,2.499084849761771210e+01
3.220000000000000284e+01,2.460570922262746052e+01
3.229999999999999716e+01,2.622786569244082244e+01
3.239999999999999858e+01,2.558621071487342391e+01
3.250000000000000000e+01,2.534134283775237861e+01
3.260000000000000142e+01,2.680966522336344227e+01
3.270000000000000284e+01,2.671500579035073031e+01
3.279999999999999716e+01,2.418145888656403031e+01
3.289999999999999858e+01,2.275428463941830870e+01
3.300000000000000000e+01,2.477416828724965825e+01
3.310000000000000142e+01,2.456362856179569576e+01
3.320000000000000284e+01,2.410699640894793561e+01
3.329999999999999716e+01,2.313965270035924249e+01
3.339999999999999858e+01,2.165739402532362945e+01
3.350000000000000000e+01,2.081422175647625750e+01
3.360000000000000142e+01,2.399725036288485214e+01
3.370000000000000284e+01,2.452493862699057914e+01
3.379999999999999716e+01,2.481575788348528988e+01
3.389999999999999858e+01,2.584377993392224226e+01
3.400000000000000000e+01,2.208769741384151075e+01
3.410000000000000142e+01,2.414763553240486615e+01
3.420000000000000284e+01,2.526600731343762618e+01
3.429999999999999716e+01,2.566858364517791458e+01
3.439999999999999858e+01,2.537556030891544623e+01
3.450000000000000000e+01,2.331704394531406876e+01
3.460000000000000142e+01,2.112432181607692527e+01
3.470000000000000284e+01,2.138108140131134860e+01
3.479999999999999716e+01,2.209899230438348638e+01
3.489999999999999858e+01,2.467955762039231615e+01
3.500000000000000000e+01,2.587310477381171836e+01
3.510000000000000142e+01,2.404968471425021903e+01
3.520000000000000284e+01,2.506566479791842283e+01
3.529999999999999716e+01,2.519932817511512013e+01
3.539999999999999858e+01,2.278197466171624797e+01
3.550000000000000000e+01,2.282965502620098164e+01
3.560000000000000142e+01,2.185929727461306271e+01
3.570000000000000284e+01,2.359360476796520700e+01
3.579999999999999716e+01,2.551771209511532845e+01
3.589999999999999858e+01,2.486894287605182186e+01
3.600000000000000000e+01,2.487141077449165039e+01
3.610000000000000142e+01,2.243124944858010750e+01
3.620000000000000284e+01,2.508574096063802017e+01
3.629999999999999716e+01,2.497603124366445471e+01
3.639999999999999858e+01,2.397047503554096792e+01
3.650000000000000000e+01,2.366924833451622590e+01
3.660000000000000142e+01,2.517856849131598551e+01
3.670000000000000284e+01,2.522462890687922865e+01
3.679999999999999716e+01,2.627695009963562711e+01
3.689999999999999858e+01,2.522592690354388623e+01
3.700000000000000000e+01,2.437612176659136765e+01
3.710000000000000142e+01,2.355768077759785939e+01
3.720000000000000284e+01,2.226959675431955787e+01
3.729999999999999716e+01,2.458117014440820469e+01
3.739999999999999858e+01,2.426548451984966803e+01
3.750000000000000000e+01,2.170727676873406509e+01
3.760000000000000142e+01,2.398922513772011200e+01
3.770000000000000284e+01,2.243048942187984096e+01
3.779999999999999716e+01,2.205690198471458174e+01
3.789999999999999858e+01,2.286847669767958990e+01
3.800000000000000000e+01,2.348210806238039083e+01
3.810000000000000142e+01,2.430360045443672590e+01
3.820000000000000284e+01,2.239558633962322176e+01
3.829999999999999716e+01,2.403876328046901634e+01
3.839999999999999858e+01,2.379641496439337800e+01
3.850000000000000000e+01,2.343941118520716316e+01
3.860000000000000142e+01,2.531454136523695908e+01
3.870000000000000284e+01,2.502697948632659575e+01
3.879999999999999716e+01,2.458784506215455679e+01
3.889999999999999858e+01,2.292807838571904000e+01
3.900000000000000000e+01,2.114768157791395709e+01
3.910000000000000142e+01,2.212477894517913768e+01
3.920000000000000284e+01,2.413221647888733301e+01
3.929999999999999716e+01,2.580823979065387874e+01
3.939999999999999858e+01,2.446761901501168524e+01
3.950000000000000000e+01,2.309387358370972620e+01
3.960000000000000142e+01,2.187189632216970736e+01
3.970000000000000284e+01,2.272236845311973141e+01
3.979999999999999716e+01,2.628204260087230892e+01
3.989999999999999858e+01,2.519144206299036171e+01
4.000000000000000000e+01,2.341096744443922972e+01
4.010000000000000142e+01,2.157050111941526183e+01
4.020000000000000284e+01,2.321250015689411939e+01
4.029999999999999716e+01,2.393616155315385896e+01
4.039999999999999858e+01,2.350598544882396723e+01
4.050000000000000000e+01,2.461766536277174566e+01
4.060000000000000142e+01,2.564740551412574376e+01
4.070000000000000284e+01,2.543848104920480324e+01
4.079999999999999716e+01,2.362432924222717645e+01
4.089999999999999858e+01,2.299018853631805825e+01
4.100000000000000000e+01,2.358268935856714066e+01
4.110000000000000142e+01,2.396007410930300452e+01
4.120000000000000284e+01,2.517689353159465071e+01
4.129999999999999716e+01,2.560389925233828734e+01
4.139999999999999858e+01,2.501177670542222486e+01
4.150000000000000000e+01,2.402779251676318140e+01
4.160000000000000142e+01,2.230484495144083468e+01
4.170000000000000284e+01,2.291244883496016627e+01
4.179999999999999716e+01,2.491932515953617511e+01
4.189999999999999858e+01,2.431371098095918626e+01
4.200000000000000000e+01,2.297419543015392662e+01
4.210000000000000142e+01,2.427318610158423340e+01
4.220000000000000284e+01,2.369661683117299944e+01
4.229999999999999716e+01,2.458168571299555438e+01
4.239999999999999858e+01,2.491944828225992126e+01
4.250000000000000000e+01,2.430047493319254315e+01
4.260000000000000142e+01,2.439788462359782173e+01
4.270000000000000284e+01,2.455008003915060755e+01
4.279999999999999716e+01,2.295917871648237352e+01
4.289999999999999858e+01,2.304017130678352743e+01
4.300000000000000000e+01,2.446386517000438232e+01
4.310000000000000142e+01,2.436059950074005442e+01
4.320000000000000284e+01,2.482116257207113108e+01
4.329999999999999716e+01,2.394759032739317206e+01
4.339999999999999858e+01,2.292375484644318817e+01
4.350000000000000000e+01,2.343743786703495502e+01
4.360000000000000142e+01,2.329559219854466789e+01
4.370000000000000284e+01,2.347184103758142726e+01
4.379999999999999716e+01,2.589145199374357276e+01
4.389999999999999858e+01,2.717469308645601345e+01
4.400000000000000000e+01,2.636038227548657886e+01
4.410000000000000142e+01,2.554222926721088882e+01
4.420000000000000284e+01,2.293051498052523129e+01
4.429999999999999716e+01,2.581780697797143631e+01
4.439999999999999858e+01,2.727789720282198260e+01
4.450000000000000000e+01,2.696389976458902638e+01
4.460000000000000142e+01,2.594746505783727031e+01
4.470000000000000284e+01,2.598507196687402399e+01
4.479999999999999716e+01,2.599496536210694586e+01
4.489999999999999858e+01,2.440100277234537884e+01
4.500000000000000000e+01,2.516231008823235271e+01
4.510000000000000142e+01,2.591716655832083660e+01
4.520000000000000284e+01,2.602536027981418698e+01
4.529999999999999716e+01,2.593710604822217292e+01
4.539999999999999858e+01,2.557686246494588289e+01
4.550000000000000000e+01,2.565684863158308460e+01
4.560000000000000142e+01,2.657748941161345613e+01
4.570000000000000284e+01,2.661806042540005279e+01
4.579999999999999716e+01,2.568652834928336759e+01
4.589999999999999858e+01,2.599493479182168088e+01
4.600000000000000000e+01,2.581482540154382477e+01
4.610000000000000142e+01,2.506281957657231274e+01
4.620000000000000284e+01,2.220814150120520480e+01
4.629999999999999716e+01,2.322459191166195680e+01
4.639999999999999858e+01,2.515089943858629340e+01
4.650000000000000000e+01,2.526706049959754807e+01
4.660000000000000142e+01,2.497281206890291827e+01
4.670000000000000284e+01,2.359079040830788543e+01
4.679999999999999716e+01,2.385006150154499238e+01
4.689999999999999858e+01,2.243934383117364817e+01
4.700000000000000000e+01,2.287874434441607718e+01
4.710000000000000142e+01,2.283074729477622000e+01
4.720000000000000284e+01,2.352819526741465950e+01
4.729999999999999716e+01,2.510192975401344739e+01
4.739999999999999858e+01,2.706187530002716812e+01
4.750000000000000000e+01,2.746816357717062118e+01
4.760000000000000142e+01,2.641974696225004493e+01
4.770000000000000284e+01,2.468098271060603821e+01
4.779999999999999716e+01,2.226092534564470782e+01
4.789999999999999858e+01,2.338125417371349357e+01
4.800000000000000000e+01,2.328436605362156087e+01
4.810000000000000142e+01,2.411419482485646171e+01
4.820000000000000284e+01,2.493461904532875195e+01
4.829999999999999716e+01,2.428160537761220894e+01
4.839999999999999858e+01,2.210963913669594660e+01
4.850000000000000000e+01,2.213915165477251890e+01
4.860000000000000142e+01,2.439002311121706867e+01
4.870000000000000284e+01,2.484987720294870783e+01
4.879999999999999716e+01,2.381608132857076754e+01
4.889999999999999858e+01,2.294624316131186959e+01
4.900000000000000000e+01,2.294072317045885967e+01
4.910000000000000142e+01,2.269131281412764878e+01
4.920000000000000284e+01,2.274341567639721973e+01
4.929999999999999716e+01,2.341321343224838003e+01
4.939999999999999858e+01,2.405391818296683937e+01
4.950000000000000000e+01,2.489816410720298734e+01
4.960000000000000142e+01,2.400138185580985706e+01
4.970000000000000284e+01,2.221909050703856892e+01
4.979999999999999716e+01,2.323452726588688932e+01
4.989999999999999858e+01,2.524811516465373273e+01
5.000000000000000000e+01,2.367870500040142545e+01
