Frequency(GHz),Differential_Magnitude(dB)
3.013678807137619486e+01,3.014289447513032982e+01
3.023691029088242743e+01,3.092071949319538859e+01
3.033703251038866000e+01,3.007088906421848407e+01
3.043715472989489257e+01,2.683428336457779650e+01
3.053727694940112514e+01,2.970164674309150854e+01
3.063739916890736126e+01,3.175068908798115430e+01
3.073752138841359383e+01,3.128030535166152504e+01
3.083764360791982639e+01,3.083481957562278808e+01
3.093776582742605896e+01,3.048707015165842193e+01
3.103788804693229153e+01,3.119423989942237441e+01
3.113801026643852765e+01,3.113949835297086821e+01
3.123813248594476022e+01,3.060543771599925833e+01
3.133825470545099279e+01,2.909950726135075527e+01
3.143837692495722536e+01,2.783550128023072645e+01
3.153849914446345792e+01,2.947043675156177400e+01
3.163862136396969049e+01,3.100897919606970277e+01
3.173874358347592661e+01,3.071650498817017194e+01
3.183886580298215918e+01,2.983310310221743222e+01
3.193898802248839175e+01,3.153888551308769195e+01
3.203911024199462787e+01,3.125073867308075393e+01
3.213923246150086044e+01,3.013034520498986524e+01
3.223935468100709301e+01,3.085099485325712010e+01
3.233947690051332557e+01,3.177644083736033309e+01
3.243959912001955814e+01,3.081911313601143121e+01
3.253972133952579071e+01,3.153275943029312600e+01
3.263984355903202328e+01,3.249760210575834662e+01
3.273996577853825585e+01,3.198606928597947174e+01
3.284008799804448842e+01,2.820622474588248707e+01
3.294021021755072098e+01,2.956960580188113141e+01
3.304033243705696066e+01,3.015286255579345820e+01
3.314045465656319323e+01,3.011263827826186201e+01
3.324057687606942579e+01,2.935278823036152573e+01
3.334069909557565836e+01,2.806472931461007292e+01
3.344082131508189093e+01,2.632926714377913058e+01
3.354094353458812350e+01,2.792060246335754314e+01
3.364106575409435607e+01,3.000294442866751154e+01
3.374118797360058863e+01,3.035494281710844433e+01
3.384131019310682120e+01,3.116703172317307491e+01
3.394143241261305377e+01,3.064806316396637698e+01
3.404155463211928634e+01,2.746511067163987718e+01
3.414167685162552601e+01,3.088418292034492652e+01
3.424179907113175858e+01,3.130998301061120515e+01
3.434192129063799115e+01,3.140997600559287761e+01
3.444204351014421661e+01,3.052462467188515660e+01
3.454216572965044918e+01,2.851112613853739575e+01
3.464228794915668175e+01,2.632301575240906999e+01
3.474241016866292142e+01,2.751222816773982771e+01
3.484253238816915399e+01,2.850738409776263893e+01
3.494265460767538656e+01,3.156339289462635733e+01
3.504277682718161913e+01,3.088218543852022790e+01
3.514289904668785169e+01,2.986038188140224392e+01
3.524302126619408426e+01,3.137996590251613327e+01
3.534314348570031683e+01,3.003158002437373142e+01
3.544326570520654940e+01,2.853991620829285480e+01
3.554338792471278197e+01,2.816301380890829265e+01
3.564351014421901453e+01,2.850774460297900603e+01
3.574363236372524710e+01,3.050753667207402842e+01
3.584375458323148678e+01,3.123507775622886129e+01
3.594387680273771934e+01,3.097006874276486244e+01
3.604399902224395191e+01,2.934298248371351292e+01
3.614412124175018448e+01,2.954171699211254420e+01
3.624424346125641705e+01,3.117650668724718344e+01
3.634436568076264962e+01,3.061166136192677811e+01
3.644448790026888219e+01,2.929693949482286897e+01
3.654461011977511475e+01,3.048691168486006120e+01
3.664473233928134732e+01,3.085435285979992059e+01
3.674485455878757989e+01,3.199067064718868636e+01
3.684497677829381246e+01,3.178792325058834578e+01
3.694509899780005213e+01,3.057295244928197064e+01
3.704522121730628470e+01,3.045506803258255957e+01
3.714534343681251727e+01,2.852318356282317779e+01
3.724546565631874984e+01,2.912599180532549425e+01
3.734558787582498240e+01,3.093125584274002904e+01
3.744571009533121497e+01,2.857872555459621111e+01
3.754583231483744754e+01,2.904797900885559159e+01
3.764595453434368011e+01,2.972131558938489704e+01
3.774607675384991268e+01,2.747372820418026862e+01
3.784619897335614525e+01,2.869460610273770129e+01
3.794632119286237781e+01,2.892222947036458436e+01
3.804644341236861749e+01,3.043763894254889024e+01
3.814656563187485006e+01,2.936223701464516722e+01
3.824668785138108262e+01,2.883933965675307221e+01
3.834681007088731519e+01,3.034500396707974446e+01
3.844693229039354776e+01,2.903952933634212386e+01
3.854705450989978033e+01,3.050429666016182395e+01
3.864717672940601290e+01,3.117094873590613702e+01
3.874729894891224546e+01,3.108420447051994273e+01
3.884742116841847803e+01,3.000979029362040507e+01
3.894754338792471060e+01,2.772076214164057717e+01
3.904766560743094317e+01,2.746581177014552111e+01
3.914778782693718284e+01,2.903799330437809090e+01
3.924791004644341541e+01,3.150357925554300920e+01
3.934803226594964798e+01,3.126035413978251043e+01
3.944815448545588055e+01,2.964629249735778416e+01
3.954827670496211312e+01,2.909338705768360711e+01
3.964839892446834568e+01,2.723011738953179162e+01
3.974852114397457825e+01,3.080106444081152972e+01
3.984864336348081082e+01,3.236414148347598996e+01
3.994876558298704339e+01,2.967670259645057484e+01
4.004888780249327596e+01,2.931087667245307671e+01
4.014901002199950852e+01,2.740459725662408275e+01
4.024913224150574820e+01,3.018635444425638781e+01
4.034925446101198077e+01,2.924881480710098458e+01
4.044937668051821333e+01,3.010461272583108183e+01
4.054949890002444590e+01,3.112922821728833256e+01
4.064962111953067847e+01,3.199660945291802250e+01
4.074974333903691104e+01,3.038944513384594259e+01
4.084986555854314361e+01,2.919652499073431073e+01
4.094998777804937617e+01,2.908699788613107629e+01
4.105010999755560874e+01,2.971202427311415306e+01
4.115023221706184131e+01,3.077389128404055185e+01
4.125035443656807388e+01,3.159716160769664128e+01
4.135047665607431355e+01,3.106550092484879144e+01
4.145059887558054612e+01,3.054908567970971234e+01
4.155072109508677869e+01,2.901665149944886224e+01
4.165084331459301126e+01,2.841751594586900964e+01
4.175096553409924383e+01,3.041142780531708922e+01
4.185108775360547639e+01,3.064413966059124306e+01
4.195120997311170896e+01,2.959922416621209607e+01
4.205133219261794153e+01,2.926983607744926630e+01
4.215145441212417410e+01,3.039370972279963468e+01
4.225157663163040667e+01,2.946002804109598472e+01
4.235169885113663923e+01,3.102507068772194998e+01
4.245182107064287891e+01,3.071308463934783717e+01
4.255194329014911148e+01,3.020849775696206763e+01
4.265206550965534404e+01,3.055265798354203000e+01
4.275218772916157661e+01,3.006127150038754081e+01
4.285230994866780918e+01,2.827775174102626110e+01
4.295243216817404175e+01,2.993021331665144302e+01
4.305255438768027432e+01,3.053153525329888396e+01
4.315267660718650689e+01,3.065512743334809187e+01
4.325279882669273945e+01,3.038914036928080264e+01
4.335292104619897202e+01,2.937990197891434718e+01
4.345304326570520459e+01,2.892381539088831488e+01
4.355316548521144426e+01,2.950661166778797195e+01
4.365328770471767683e+01,2.940633797173992647e+01
4.375340992422390940e+01,3.056048211082169175e+01
4.385353214373014197e+01,3.298104035329254202e+01
4.395365436323637454e+01,3.263772773559048801e+01
4.405377658274260710e+01,3.219609089844965411e+01
4.415389880224883967e+01,3.006380307180632983e+01
4.425402102175507224e+01,3.005113879012729683e+01
4.435414324126130481e+01,3.288705983744967654e+01
4.445426546076753738e+01,3.316055799130514004e+01
4.455438768027376994e+01,3.243241337942698266e+01
4.465450989978000962e+01,3.156891876478785974e+01
4.475463211928624219e+01,3.233079782512182021e+01
4.485475433879247475e+01,3.073647743193612314e+01
4.495487655829870732e+01,3.069346359483755293e+01
4.505499877780493989e+01,3.152412439586056081e+01
4.515512099731117246e+01,3.158450922468387034e+01
4.525524321681740503e+01,3.223768473140674473e+01
4.535536543632363760e+01,3.145221127687950968e+01
4.545548765582987016e+01,3.134786298635280133e+01
4.555560987533610273e+01,3.215220885031811093e+01
4.565573209484233530e+01,3.261196741648336683e+01
4.575585431434857497e+01,3.194182578410809725e+01
4.585597653385480754e+01,3.174757670316147440e+01
4.595609875336104011e+01,3.174383368822655882e+01
4.605622097286727268e+01,3.149226147735053161e+01
4.615634319237350525e+01,2.937317454227141056e+01
4.625646541187973781e+01,2.785702356716697281e+01
4.635658763138597038e+01,3.044031722296728759e+01
4.645670985089220295e+01,3.109992594626417173e+01
4.655683207039843552e+01,3.096129196129027861e+01
4.665695428990466809e+01,3.046241148638661045e+01
4.675707650941090066e+01,2.854937988844808316e+01
4.685719872891714033e+01,2.952587606511015395e+01
4.695732094842337290e+01,2.847821077064459061e+01
4.705744316792960547e+01,2.851125628177404892e+01
4.715756538743583803e+01,2.924664975187672411e+01
4.725768760694207060e+01,2.984399423050637878e+01
4.735780982644830317e+01,3.222651204813701042e+01
4.745793204595453574e+01,3.321341579140676714e+01
4.755805426546076831e+01,3.282023392231725012e+01
4.765817648496700087e+01,3.102102846620731569e+01
4.775829870447323344e+01,2.875748551447498969e+01
4.785842092397946601e+01,2.865482878798177779e+01
4.795854314348570568e+01,2.913163152291451041e+01
4.805866536299193825e+01,2.900198119004896213e+01
4.815878758249817082e+01,3.062640248998418002e+01
4.825890980200440339e+01,3.017503003281903773e+01
4.835903202151063596e+01,2.913918643096387484e+01
4.845915424101686853e+01,2.728137574871744775e+01
4.855927646052310109e+01,2.906787705762689100e+01
4.865939868002933366e+01,3.064779659272021206e+01
4.875952089953556623e+01,2.982126895926281307e+01
4.885964311904179880e+01,2.893981503702961788e+01
4.895976533854803137e+01,2.853358690323606339e+01
4.905988755805427104e+01,2.835461079451670940e+01
4.916000977756050361e+01,2.812313944511590691e+01
4.926013199706673618e+01,2.865486411744342732e+01
4.936025421657296874e+01,2.923547040107568407e+01
4.946037643607920131e+01,3.036979443063143691e+01
4.956049865558543388e+01,3.015658564181580203e+01
4.966062087509166645e+01,2.821313095198296139e+01
4.976074309459789902e+01,2.778311454933696112e+01
4.986086531410413158e+01,3.017301015600892455e+01
4.996098753361036415e+01,2.994134132133925164e+01
